system,brand,style,category,canonical_name,canonical_status,supplier_sku,description,size,colour,length_mm,tier2_ex_gst,tier2_inc_gst,carton_qty
aluminium,Aluminium,Lifestyle slat,Components,Aluminium Lifestyle slat  Monument,proposed,LT-2400-S65-3PK-MN,Lifestyle Slat - 65x16mm - 2400mm long - 3 PACK - MONUMENT MATT,,Monument,,43.87,48.26,
aluminium,Aluminium,Lifestyle slat,Extrusion,Aluminium Lifestyle slat  Woodland Grey,proposed,,Lifestyle Screen Topper - 250mm Side Frame Pair - WOODLAND GREY,,Woodland Grey,,18.75,20.62,
aluminium,Aluminium,Lifestyle slat,Extrusion,Aluminium Lifestyle slat  Woodland Grey,proposed,,Lifestyle Slat - 65x16mm - 2400mm long - 3 PACK - WOODLAND GREY,,Woodland Grey,,43.15,47.47,
aluminium,Aluminium,Sleeper,Sleeper,Aluminium Sleeper,proposed,SKU-260525230548,"ALI-2385x150x50mm Sleeper - Aluminium - Woodland Grey, Monument, Basalt, Primrose, Paperbark, Surfmist ONLY",,,2385,43.91,48.3,
aluminium,Aluminium,Slat,Components,Aluminium Slat,proposed,AW-5800-S65-KWI,Aluminium - KWILA - 65mm x 16.5mm x 5800mm SLAT (with centre web),,,5800,50.49,55.54,
aluminium,Aluminium,Xpress,Bracket,Aluminium Xpress,proposed,SS-BH4-MN,Six Star/Xpress Tubular - Bracket - HORIZONTAL - 4 pack incl 10 Tek Screws MONUMENT,,,,5.1,5.61,
aluminium,Aluminium,Lifestyle slat,Components,Aluminium Lifestyle slat  Domain,proposed,LT-2400-S65-3PK-P,Lifestyle Slat - 65x16mm - 2400mm long - 3 PACK - PRIMROSE,,Domain,,43.15,47.47,
aluminium,Aluminium,Lifestyle slat,Extrusion,Aluminium Lifestyle slat  Domain,proposed,,Lifestyle Screen Topper - 250mm Side Frame Pair - PRIMROSE,,Domain,,18.75,20.62,
aluminium,Aluminium,DIY kit,Custom,Aluminium DIY kit,proposed,,"DIY Horizontal Slat Panel Pre-cut Kit (C SECTION) - Req Assembly - (Size Specs req - See Comments Section) 1.5-2 weeks lead time - (Colour Choice: Black, Monument, Woodland Grey, Basalt, Dune, Surfmist, Paperbark, Primrose, Pearl White)",,,,140.53,154.58,
aluminium,Aluminium,DIY kit,Custom,Aluminium DIY kit,proposed,,"DIY Horizontal Slat Panel Pre-cut Kit (F SECTION) - Req Assembly - (Size Specs req - See Comments Section) 1.5-2 weeks lead time - (Colour Choice: Black, Monument, Woodland Grey, Basalt, Dune, Surfmist, Paperbark, Primrose, Pearl White)",,,,131.72,144.89,
aluminium,Aluminium,DIY kit,Custom,Aluminium DIY kit,proposed,,"DIY Horizontal Slat Pre-cut GATE Kit (SWING GATE) - Req Assembly - (Size Specs req - See Comments Section) 1.5-2 weeks lead time - (Colour Choice: Black, Monument, Woodland Grey, Basalt, Dune, Surfmist, Paperbark, Primrose, Pearl White)",,,,253.54,278.89,
aluminium,Aluminium,Slat,Components,Aluminium Slat  Woodland Grey,proposed,,65 x 16.5mm ALI SLAT - (centre web) - 6100mm long - WOODLAND GREY,,Woodland Grey,6100,37.29,41.02,
aluminium,Aluminium,DIY kit,Custom,Aluminium DIY kit,proposed,,"DIY VERTICAL Slat Panel Pre-cut Kit (VERTICAL PANEL) - Req Assembly - (Size Specs req - See Comments Section) 1.5-2 weeks lead time - (Colour Choice: Black, Monument, Woodland Grey, Basalt, Dune, Surfmist, Paperbark, Primrose, Pearl White)",,,,170.2,187.22,
aluminium,Aluminium,Post,Post,Aluminium Post,proposed,,50 x 50 Aluminium Post 1800 (CUSTOM COLOUR - Not Satin Black),,,1800,24.0,26.4,
aluminium,Aluminium,Quickscreen system,Components,Aluminium Quickscreen system  Night Sky,proposed,,Quickscreen Gate System - 50x50mm FLAT TOP CAP 2 SATIN BLACK powder coated aluminium,,Night Sky,,2.6,2.86,
aluminium,Aluminium,Quickscreen system,Components,Aluminium Quickscreen system  Black Satin,proposed,,Quickscreen Gate System - 17x23mm INFILL aluminium 4800mm long BLACK SATIN (GN150A) powder coat (mates with Quickscreen gate side frame and top/bottom rails),,Black Satin,,14.95,16.45,
aluminium,Aluminium,Quickscreen system,Components,Aluminium Quickscreen system,proposed,,Quickscreen Gate System - 65x50mm TOP/BOTTOM HORIZONTAL RAIL aluminium 4800mm long BLACK SATIN (GN150A) powder coat,,,,109.1,120.01,
aluminium,Aluminium,Quickscreen system,DIY Slat Gate,Aluminium Quickscreen system  Satin Black,proposed,,Quickscreen Gate System - 50x50mm GATE SIDE FRAME aluminium 4200mm long BLACK SATIN (GN150A) powder coat,,Satin Black,,85.75,94.33,
aluminium,Aluminium,Quickscreen system,Components,Aluminium Quickscreen system  Satin Black,proposed,,Quickscreen Gate System - 17x10mm SCREW COVER aluminium 4200mm long BLACK SATIN (GN150A) powder coat (mates with Quickscreen gate side frame and top/bottom rails),,Satin Black,,7.65,8.42,
aluminium,Aluminium,Quickscreen system,Components,Aluminium Quickscreen system,proposed,,QUICKSCREEN - 10g x 16mm self drilling screws with 2 zinc-aluminum flake coating WAFER HEAD SCREWS with philips drive head 50 PACK,,,,1.35,1.49,
aluminium,Aluminium,Balustrade,Components,Aluminium Balustrade,proposed,,AIRE Aluminium Balustrade - 12gx25mm panhead screw with square drive - SS304HC MILL/SILVER (original SS304 finish) PACK OF 50,,,,3.85,4.24,
aluminium,Aluminium,Quickscreen system,Components,Aluminium Quickscreen system,proposed,,Quickscreen Gate System - JOINER BLOCK for 65mm top/bottom rail Anodised satin aluminium 4 PACK (incl 8 x CSK 50mm long screws),,,,7.5,8.25,
aluminium,Aluminium,Quickscreen system,Components,Aluminium Quickscreen system,proposed,,Quickscreen - 20mm SLAT SPACER nylon - 50 pack (suits Quickscreen side frame & Quickscreen gate side frame),,,,4.95,5.45,
aluminium,Aluminium,Post,Post,Aluminium Post  Surfmist,proposed,,50x50 x 1800mm Aluminium Powder-coated Post - SURFMIST,,Surfmist,1800,26.0,28.6,
aluminium,Aluminium,Post,Post,Aluminium Post  Surfmist,proposed,,50x50 x 2400mm Aluminium Powder-coated Post - SURFMIST,,Surfmist,2400,26.0,28.6,
aluminium,Aluminium,Xpress,Custom,Aluminium Xpress  Night Sky,proposed,,Xpress fence in a box – boundary fencing ALUMINIUM POWDER COATED BLACK 1200MM H x 2000MM W,,Night Sky,,61.36,67.5,
aluminium,Aluminium,Post,Post,Aluminium Post  Night Sky,proposed,,50x50 x 2400mm Aluminium Powder-coated Post - NIGHT SKY,,Night Sky,2400,38.55,42.41,
aluminium,Aluminium,Slat,Aluminium,Aluminium Slat  Basalt,proposed,,90 x 16.5mm ALI SLAT - (centre web) - 6100mm long - BASALT,,Basalt,6100,55.54,61.09,
aluminium,Aluminium,Slat,Components,Aluminium Slat  Monument,proposed,,90 x 16.5mm ALI SLAT - (centre web) - 6100mm long - MONUMENT,,Monument,,55.54,61.09,
aluminium,Aluminium,Quickscreen system,DIY Slat Gate,Aluminium Quickscreen system 5800 Woodland Grey,proposed,,QuickScreen SIDE FRAME - 5800mm long - WOODLAND GREY MATT,5800,Woodland Grey,,24.35,26.79,
aluminium,Aluminium,Quickscreen system,DIY Slat Gate,Aluminium Quickscreen system  Woodland Grey,proposed,,QuickScreen Snap on CONCEALED FIXING COVER (suits side frame) - 5800mm long - WOODLAND GREY MATT,,Woodland Grey,,16.92,18.61,
aluminium,Aluminium,Quickscreen system,DIY Slat Gate,Aluminium Quickscreen system  Black,proposed,,Quickscreen - 9mm SLAT SPACER nylon - 50 pack (suits Quickscreen side frame & Quickscreen gate side frame),,Black,,2.5,2.75,
aluminium,Aluminium,Quickscreen system,DIY Slat Gate,Aluminium Quickscreen system  Woodland Grey,proposed,,QuickScreen SIDE FRAME CAP nylon WOODLAND GREY 2 PACK,,Woodland Grey,,0.6,0.66,
aluminium,Aluminium,Slat,Aluminium,Aluminium Slat 6100 Basalt,proposed,,65 x 16.5mm ALI SLAT - (centre web) - 6100mm long - BASALT,6100,Basalt,6100,37.29,41.02,
aluminium,Aluminium,Lifestyle slat,Aluminium,Aluminium Lifestyle slat  Black,proposed,,Lifestyle Slat - 65x16mm - 2400mm long - 3 PACK - BLACK MATT,,Black,,35.0,38.5,
aluminium,Aluminium,Post,Post,Aluminium Post  Black,proposed,,6000mm LENGTH - 65x65x3mm Aluminium Powdercoated BLACK - To be cut 2x 3000mm prior to sending,,Black,6000,135.6,149.16,
aluminium,Aluminium,Post,Post,Aluminium Post 2400 Surfmist,proposed,,65x65 Powdercoated Aluminium Post @ 2400mm - SURFMIST,2400,Surfmist,2400,56.71,62.38,
aluminium,Aluminium,Xpress,Components,Aluminium Xpress  Woodland Grey,proposed,,XPRESS Screening - 40 x 13mm CENTRE SUPPORT RAIL - 5800mm long - SATIN BLACK (GN150A) Includes Snap on Concealed Fixing Cover,,Woodland Grey,5800,39.56,43.52,
aluminium,Aluminium,Slat,Components,Aluminium Slat  Black Satin,proposed,,65 x 16.5mm ALI SLAT - (centre web) - 6100mm long - BLACK SATIN (GN150A),,Black Satin,6100,32.95,36.25,
aluminium,Aluminium,Quickscreen system,Components,Aluminium Quickscreen system  Black Satin,proposed,,QuickScreen SIDE FRAME - 5800mm long - BLACK SATIN (GN150A),,Black Satin,,23.16,25.48,
aluminium,Aluminium,Quickscreen system,Components,Aluminium Quickscreen system  Black Satin,proposed,,QuickScreen Snap on CONCEALED FIXING COVER (suits side frame) - 5800mm long - BLACK SATIN (GN150A),,Black Satin,,15.94,17.53,
aluminium,Aluminium,Quickscreen system,Components,Aluminium Quickscreen system  Black,proposed,,QuickScreen SIDE FRAME CAP nylon BLACK (nylon) 2 PACK,,Black,,0.6,0.66,
aluminium,Aluminium,Xpress,Components,Aluminium Xpress  Black,proposed,,XPRESS Screening - Centre Support Rail CAP ONLY - BLACK (nylon),,Black,,1.03,1.13,
aluminium,Aluminium,Post,Components,Aluminium Post  Black Satin,proposed,,50 x 50 Aluminium Post - 2400mm - Black Satin Only,,Black Satin,2400,40.48,44.53,
aluminium,Aluminium,Prefab panel,Aluminium,Aluminium Prefab panel 3000 Black,proposed,,Six Star - Flat Top Panel - BLACK - 1200x3000mm,3000,Black,3000,103.95,114.35,
aluminium,Aluminium,Prefab panel,Aluminium,Aluminium Prefab panel 2200 x 1200mm Black,proposed,,BLADE 1200mmH PANEL 2200mm Wide x 1200mm High SATIN BLACK - aluminium powder coated ** 50mmx16mm RHS face welded to 40x40x2.4mm rails** (complies to AS1926.1),2200 x 1200mm,Black,,189.0,207.9,
aluminium,Aluminium,Slat,Components,Aluminium Slat  Surfmist,proposed,XP-6100-S65-SM,65 x 16.5mm ALI SLAT - (centre web) - 6100mm long - SURFMIST,,Surfmist,,37.29,41.02,
aluminium,Aluminium,Quickscreen system,Aluminium,Aluminium Quickscreen system 5800 Surfmist,proposed,,QS Side Frame - 5800mm - SURFMIST (Lead Times Apply),5800,Surfmist,,24.35,26.79,
aluminium,Aluminium,Quickscreen system,Aluminium,Aluminium Quickscreen system 5800 Surfmist,proposed,,QS Fixing Cover - 5800mm - SURFMIST (Lead Times Apply),5800,Surfmist,,16.92,18.61,
aluminium,Aluminium,Quickscreen system,Aluminium,Aluminium Quickscreen system  Surfmist,proposed,,Quickscreen-SIDE FRAME CAP- SURFMIST-2pk (Lead Times Apply),,Surfmist,,0.6,0.66,
aluminium,Aluminium,Slat,Aluminium,Aluminium Slat 6100 Dune,proposed,,65 x 16.5mm ALI SLAT - (centre web) - 6100mm long - DUNE,6100,Dune,,37.29,41.02,
aluminium,Aluminium,Quickscreen system,DIY Slat Gate,Aluminium Quickscreen system 5800 Dune,proposed,,QuickScreen SIDE FRAME - 5800mm long - DUNE MATT,5800,Dune,,24.35,26.79,
aluminium,Aluminium,Quickscreen system,Aluminium,Aluminium Quickscreen system 5800 Dune,proposed,,QS Fixing Cover - 5800mm - DUNE(Lead Times Apply),5800,Dune,,16.92,18.61,
aluminium,Aluminium,Aluminium,Aluminium,Aluminium Aluminium 5800 Basalt,proposed,,Fixing Cover - 5800mm - BASALT,5800,Basalt,,16.92,18.61,
aluminium,Aluminium,Aluminium,Aluminium,Aluminium Aluminium 5800 Basalt,proposed,,Side Frame - 5800mm - BASALT,5800,Basalt,,24.35,26.79,
aluminium,Aluminium,Aluminium,Aluminium,Aluminium Aluminium  Basalt,proposed,,SIDE FRAME CAP- BASALT- 2pk,,Basalt,,0.6,0.66,
aluminium,Aluminium,Post,Aluminium,Aluminium Post 2400 Basalt,proposed,,Aluminium 50 x 50mm Post - 2400mm - BASALT,2400,Basalt,,38.55,42.41,
aluminium,Aluminium,Post,Post,Aluminium Post,proposed,,Aluminium 65x65mm Post - 5800mm - KWILA,,,,187.14,205.85,
aluminium,Aluminium,DIY kit,Custom,Aluminium DIY kit,proposed,,"DIY VERTICAL Slat GATE-65x16mm Slats-Pre-cut Kit-(VERTICAL SWING GATE) - Req Assembly - (Insert height/width/gap here)1.5-2 weeks lead time - (Colour Choice: Black, Monument, Woodland Grey, Basalt, Dune, Surfmist, Paperbark, Primrose, Pearl White)",,,,1.0,1.1,
aluminium,Aluminium,Gate,Gate,Aluminium Gate 950 Black,proposed,1200 Flat Top Al 74mm space Gate Black 950,Aluminium Flat Top Gate Black 1200 x 950,950,Black,950,48.0,52.8,50
aluminium,Aluminium,Gate,Gate,Aluminium Gate 1475 Black,proposed,1200 Flat Top Ali 74mm Space Gate Black 1475,Aluminium Flat Top Gate Black 1200 x 1475,1475,Black,1475,54.0,59.4,50
aluminium,Aluminium,Post,Post,Aluminium Post 1300 Black,proposed,50x50x2x1300x130x130x5x1 AL WC Black,50 x 50 Flanged Aluminium Post Black 1300,1300,Black,,14.31,15.74,50
aluminium,Aluminium,Post,Post,Aluminium Post 1600 Black,proposed,50x50x2x1600x130x130x5x1 AL WC Black,50 x 50 Flanged Aluminium Post Black 1600,1600,Black,1600,16.85,18.54,50
aluminium,Aluminium,Post,Post,Aluminium Post 1800 Black,proposed,50x50x2x1800 Ali Black Plastic Cap,50 x 50 Aluminium Post 1800 Black,1800,Black,1800,16.85,18.54,50
aluminium,Aluminium,Post,Post,Aluminium Post 2100 Black,proposed,50x50x2x2100 Ali Black Plastic Cap,50 x 50 Aluminium Post 2100 Black,2100,Black,2100,16.85,18.54,50
